Title,Location,Price_Period,Date_Added_Updated,Bed_Bath_Toilet
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 10 Edun Parkview Estate Ikoyi Lagos ","  5,500,000 ",Added 22 Jan 2021,44
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 12 Oluwaseun Ikotun Isolo Lagos ","  500,000 ",Added 22 Jan 2021,22
4 BEDROOM DUPLEX FOR RENT,"


 Chevy View Estate Chevron Drive Lekki Lagos ","  4,500,000 ",Added 21 Jan 2021,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Off Jibril Aminu Parkview Estate Ikoyi Lagos ","  6,000,000 ",Added 20 Jan 2021,33
4 BEDROOM TERRACE FOR RENT,"


 Osapa Osapa Lekki Lagos ","  3,500,000 ",Added 20 Jan 2021,455
OFFICE FOR RENT,"


 Victoria Island Lagos Oniru Victoria Island Lagos ","  55,000 ",Added 19 Jan 2021,
3 BEDROOM DUPLEX FOR RENT,"


 Omole Phase 1 Omole Ikeja Lagos ","  4,000,000 ",Added 19 Jan 2021,334
4 BEDROOM DUPLEX FOR RENT,"


 Onoiwu Amiri Crescent, Runview Estate Ajao Estate Oshodi Lagos ","  2,000,000 ",Added 19 Jan 2021,445
4 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ire Akari Estate Isolo Isolo Lagos ","  800,000 ",Added 19 Jan 2021,445
OFFICE FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ","  18,000,000 ",Added 19 Jan 2021,2
3 BEDROOM DUPLEX FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  5,000,000 ",Added 19 Jan 2021,334
OFFICE FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ","  35,000,000 ",Added 19 Jan 2021,3
OFFICE FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ","  15,000,000 ",Added 19 Jan 2021,
OFFICE FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ",  500 ,Added 19 Jan 2021,
OFFICE FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ",  500 ,Added 19 Jan 2021,4
4 BEDROOM DUPLEX FOR RENT,"


 Shonibare Estate Maryland Ikeja Lagos ","  6,500,000 ",Added 17 Jan 2021,44
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Shonibare Estate Maryland Ikeja Lagos ","  2,500,000 ",Added 17 Jan 2021,33
3 BEDROOM HOUSE FOR RENT,"


 Off Ahmadu Bello Way Victoria Island Victoria Island Lagos ","  12,000,000 ",Added 16 Jan 2021,34
LAND FOR RENT,"


 Off Idowu Martins Victoria Island Victoria Island Lagos ",  0 ,Added 16 Jan 2021,
4 BEDROOM DUPLEX FOR RENT,"


 Off Admiralty Way Lekki Phase 1 Lekki Lagos ","  10,000,000 ",Added 16 Jan 2021,45
5 BEDROOM HOUSE FOR RENT,"


 Off Ajose Adeogun Street Victoria Island Victoria Island Lagos ","  17,000,000 ",Added 16 Jan 2021,56
COMMERCIAL PROPERTY FOR RENT,"


 Oke Ira Ogba Ogba Ikeja Lagos ","  1,500,000 ",Added 15 Jan 2021,
4 BEDROOM DUPLEX FOR RENT,"


 Oniru Estate Oniru Victoria Island Lagos ","  5,000,000 ",Added 15 Jan 2021,445
2 BEDROOM TERRACE FOR RENT,"


 Osapa Osapa Lekki Lagos ","  2,000,000 ",Added 15 Jan 2021,223
19 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Estate Oniru Victoria Island Lagos ","  35,000,000 ",Added 15 Jan 2021,191516
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Oniru Oniru Victoria Island Lagos ","  4,000,000 ",Added 15 Jan 2021,33
4 BEDROOM TERRACE FOR RENT,"


 Old Ikoyi Ikoyi Ikoyi Lagos ","  10,000,000 ",Added 15 Jan 2021,44
1 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ilasan Jakande Lekki Lagos ","  800,000 ",Added 15 Jan 2021,11
2 BEDROOM FLAT & APARTMENT FOR RENT,"


 Ikoyi Ikoyi Ikoyi Lagos ","  7,500,000 ",Added 14 Jan 2021,223
SHOP FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  11,000,000 ",Added 14 Jan 2021,2
4 BEDROOM TERRACE FOR RENT,"


 Admiralty Way Lekki Phase 1 Lekki Lagos ","  7,500,000 ",Added 13 Jan 2021,445
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 Iyana Ipaja, Iyana Odo, Ipaja Agege Lagos ","  500,000 ",Added 13 Jan 2021,334
3 BEDROOM FLAT & APARTMENT FOR RENT,"


 12 Aduni Parkview Estate Ikoyi Lagos ","  6,000,000 ",Added 12 Jan 2021,33
COMMERCIAL PROPERTY FOR RENT,"


 Lekki Phase 1 Lekki Phase 1 Lekki Lagos ","  4,000,000 ",Added 12 Jan 2021,6
OFFICE FOR RENT,"


 Victoria Island Lagos Victoria Island Victoria Island Lagos ","  18,000,000 ",Added 12 Jan 2021,
4 BEDROOM DUPLEX FOR RENT,"


 12 Kushenla Ikate Elegushi Lekki Lagos ","  7,000,000 ",Added 12 Jan 2021,45
COMMERCIAL PROPERTY FOR RENT,"


 Victoria Island Victoria Island Victoria Island Lagos ","  20,000,000 ",Added 12 Jan 2021,
4 BEDROOM TERRACE FOR RENT,"


 Ikate Lekki Expressway Lekki Lagos ","  4,500,000 ",Added 12 Jan 2021,44
5 BEDROOM TERRACE FOR RENT,"


 Magodo Magodo Shangisha Ketu Lagos ","  170,000,000 ",Added 12 Jan 2021,564
